No,reviewers_name,reviews_rating,reviews_title,reviews_text
1,ArtVandelayImporterExporter,1,An end to comic book movies would be merciful,"I think every comic book character is included in this mess of a movie. They do a lot of CGI fighting and emoting in front of a green screen. Some bad guys get vanquished. Good guys make some quips. Dateless 14 year old boys get a fun night out at the Googleplex. Girls stay home and study for mid-terms because they're our future engineers and doctors. Scarlett Johannsen looks terrible as a ginger, by the way."
2,Easygoer10,1,Per For Pre Pubescent Kids,"I'm going to make a leap here, just to leep things simple. The cumulative effect of so called ""super heroes"" is to the true film fan what the white man was to Native Americans: End of life as they knew it. There are 25 actors in this, and it's really sad to see them become prostitutes, like their studios. Why do you think great actors and directors wouldn't be caught dead in these cartoon films? Because they are the antithesis to great film making. Its really sad. I understand my 13 year old daughter seeing something like this. I don't understand older, more mature people acting like these are real films becauseT they arent. They are like the cartoons you woukd watch, before the main attraction started. They all have been dumbed down for the masses to the same exact plot: Good versus Evil; always. I wouldn't, no couldn't; sit through 15 minute of this pablum, not even if you paid me a year's salary to watch. It""s woeful trash, and is ruining the film industry. Stanley Kubrick the master of all the great directors, is rolling over in his grave. You won't see the top directors making any of this trash. People like Abel Ferrara, Marty Scorcese, Ridley Scott, William Friedkin, Spike Lee, or Denis Villeneuve go near a movie such as this. Its all publicity! All you hear about is how much money is made in the opening weeks, but nothing about what the films are like. It makes me sick. I would rather have my teeth drilled without novacaine than watch this. The same goes for the best actors. No way you will see ever see people like Bobby DeNiro, Christopher Walken, Matt Damon, Colin Farrell, Ethan Hawke, Nicole Kidman, or Al Pacino in any of these movies. I understand completely. It's simple. They have integrity! Skip this woeful hyped up trash and go see a real film; not a cartoon."
3,allanmichael30,1,Thanos now a bum,Captain America switched with lokki at some point in past and captain never returned. This was more like a soap than action movie.
4,MovieCriticOnline,1,"My God, it was bad...","Josh Brolin's voice was totally wrong for Thanos. The lips didn't even match the words. I'm also just tired of seeing the SAME old mad man trying to destroy the world and getting defeated by super heroes. Too many characters. At least with the Dark Knight and some of the X-Men films they mixed it up and felt fresh. More superheroes doesn't mean better. Plus the acting was atrocious. The wooden repartee didn't help, done only to make sure everyone gets their lines in. Try a new storyline and/or approach. SKIP IT!"
5,ferdmalenfant,1,Just terrible!,They've really scrapped the bottom with this one! Oh so Bad!
6,Eli_Elvis,1,Pathetic.,Infinity war was amazing... this... nope. Hollyweird just doesn't know how to finish a story anymore. Paint by numbers and submit to a committee. Was it bad? No. Was it good? No. Robert Downey Junior is the only good thing in this film.
7,XhoXhuXhamen,1,Hopefully The END!,"When is this Long-Winded, Boring Comic series going to end? My wife loves this bunk, so I've been subjected to every one of them. Sure, I liked the first Iron Man. But manufacturing characters and writing a senseless plot just for the sake of another CGI spectacle is too much. I hope Thanos actually exists and puts and End to Marvel Comics Inc."
8,umlaziking,1,Terrible,"The writers went to far with this one.Somethings wrong with today's society,for ppl to even consider this garbage as one of the greatest films ever made with an of 8.5 is a disgrace.8.5?????seriously,this film is an abomination to marvel fans and the entire human race,there was no love and passion done with this it was only for money.I hate this film and I especially hate the writers who did this,this couldve been the greatest of the greats."
9,tristanostara,1,The highest grossing most disappointing marvel film of all time,"This movie was the biggest let down and anti climax of all time, I am one of the true marvel fans having grown up with the comics and watching all the big and small screen adaptations however this movie had the hype and potential to be the biggest greatest movie of all time , it wasn't it was rubbish !! And a joke , I felt so strongly about this i created this account just to write a review on this horrible movie . I won't spoil it but it was a rip off and a cheat infinity war was amazing 10/10 but endgame is 1/10 also just to rub salt into the wound there is no end credit cut scene so don't waste your time.... you are welcome, I can't believe the money this movie will make and it isn't even any good"
10,ProjectAnomaly,4,Endgame,"Beginning was great, ending was great, I barely stayed awake in the middle."
